2025-12-16 19:07:55.187 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:07:55.214 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 24660 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:07:55.216 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:07:55.879 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:07:55.886 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:07:55.887 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:07:55.887 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:07:55.923 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:07:55.924 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 675 ms
2025-12-16 19:07:56.173 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:07:56.186 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:07:56.193 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.422 seconds (process running for 1.944)
2025-12-16 19:14:17.165 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:14:17.193 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 6028 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:14:17.194 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:14:17.841 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:14:17.848 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:14:17.849 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:14:17.849 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:14:17.885 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:14:17.885 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 659 ms
2025-12-16 19:14:18.136 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:14:18.148 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:14:18.155 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.403 seconds (process running for 1.993)
2025-12-16 19:15:34.448 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:15:34.476 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 9364 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:15:34.477 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:15:35.151 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:15:35.158 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:15:35.160 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:15:35.160 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:15:35.197 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:15:35.197 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 689 ms
2025-12-16 19:15:35.459 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:15:35.473 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:15:35.480 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.434 seconds (process running for 1.981)
2025-12-16 19:15:41.295 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-16 19:15:41.295 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-16 19:15:41.297 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-16 19:15:41.319 [http-nio-8080-exec-1] INFO  c.c.dddadmin.application.service.OrderAppService - info log
2025-12-16 19:15:41.320 [http-nio-8080-exec-1] INFO  c.c.dddadmin.application.service.OrderAppService - >>> createOrder() 被调用
2025-12-16 19:17:25.197 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:17:25.226 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 22044 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:17:25.226 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:17:25.882 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:17:25.888 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:17:25.890 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:17:25.890 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:17:25.923 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:17:25.923 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 665 ms
2025-12-16 19:17:26.158 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:17:26.172 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:17:26.180 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.367 seconds (process running for 1.943)
2025-12-16 19:23:56.808 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:23:56.860 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 25996 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:23:56.861 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:23:57.778 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:23:57.847 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 940 ms
2025-12-16 19:23:58.253 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:23:58.262 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 2.019 seconds (process running for 2.659)
2025-12-16 19:24:04.041 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:24:04.146 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 21084 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:24:04.148 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:24:05.447 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:24:05.465 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:24:05.468 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:24:05.468 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:24:05.542 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:24:05.542 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1332 ms
2025-12-16 19:24:06.059 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:24:06.079 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:24:06.087 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 2.942 seconds (process running for 3.901)
2025-12-16 19:28:30.989 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
